Date,High,Low,Open,Close,Volume,Adj Close
2020-02-03,1186.0,1163.0,1186.0,1167.0,159523.0,1167.0
2020-02-04,1188.0,1150.9000244140625,1176.0,1188.0,132120.0,1188.0
2020-02-05,1188.0,1168.0,1184.0,1168.0,217850.0,1168.0
2020-02-06,1196.0,1161.0,1196.0,1190.0,228080.0,1190.0
2020-02-07,1197.0,1180.0,1197.0,1193.0,243578.0,1193.0
2020-02-10,1201.0,1182.0,1193.0,1196.0,103091.0,1196.0
2020-02-11,1205.0,1192.0,1205.0,1199.0,245890.0,1199.0
2020-02-12,1215.0,1180.4599609375,1200.0,1198.0,234672.0,1198.0
2020-02-13,1203.0,1171.0,1198.0,1192.0,164882.0,1192.0
2020-02-14,1212.0,1188.0,1188.0,1201.0,319531.0,1201.0
2020-02-17,1211.0,1198.050048828125,1203.0,1207.0,92938.0,1207.0
2020-02-18,1218.0,1201.0,1201.0,1214.0,146440.0,1214.0
2020-02-19,1229.1600341796875,1215.0,1227.0,1215.0,87303.0,1215.0
2020-02-20,1232.0,1217.0,1217.0,1226.0,603943.0,1226.0
2020-02-21,1245.300048828125,1225.0,1230.0,1240.0,204509.0,1240.0
2020-02-24,1243.300048828125,1211.0,1234.0,1211.0,164902.0,1211.0
2020-02-25,1226.0400390625,1166.0,1185.0,1173.0,502471.0,1173.0
2020-02-26,1170.0,1130.0,1170.0,1160.0,456626.0,1160.0
2020-02-27,1155.0,1103.219970703125,1145.0,1113.0,391048.0,1113.0
2020-02-28,1105.0,1052.0,1105.0,1066.0,354551.0,1066.0
2020-03-02,1099.0,1053.0,1082.0,1084.0,617784.0,1084.0
2020-03-03,1141.0,1094.0,1094.0,1133.0,377165.0,1133.0
2020-03-04,1159.0,1123.0,1150.0,1158.0,791971.0,1158.0
2020-03-05,1180.0,1122.0,1180.0,1136.0,201418.0,1136.0
2020-03-06,1118.0,1087.0,1115.0,1096.0,296259.0,1096.0
2020-03-09,1087.0,1030.0,1065.0,1049.0,358761.0,1049.0
2020-03-10,1094.0,1056.0,1074.0,1063.0,656342.0,1063.0
2020-03-11,1090.0,1049.0,1084.0,1060.0,376062.0,1060.0
2020-03-12,1050.550048828125,969.5,1035.0,969.5,562014.0,969.5
2020-03-13,1042.0,973.0,994.5,984.5,664227.0,984.5
2020-03-16,961.5,882.9749755859375,961.0,896.0,683513.0,896.0
2020-03-17,912.5,794.5,905.0,811.5,911957.0,811.5
2020-03-18,813.0,695.0,799.0,697.5,805325.0,697.5
2020-03-19,725.0,630.0,695.0,725.0,1275793.0,725.0
2020-03-20,834.0,725.0,734.0,833.5,724623.0,833.5
2020-03-23,852.5,794.5,813.5,852.0,741789.0,852.0
2020-03-24,956.781005859375,860.0,860.0,931.0,1076841.0,931.0
2020-03-25,1014.0,898.5,970.0,930.0,475941.0,930.0
2020-03-26,963.0,898.0,926.0,931.5,759569.0,931.5
2020-03-27,950.0,890.5,922.5,943.0,474920.0,943.0
