Date,High,Low,Open,Close,Volume,Adj Close
2005-04-28,121.5,116.0,121.0,119.75,67808944.0,60.230552673339844
2005-04-29,120.0,115.97000122070312,119.75,116.0,14620739.0,58.344425201416016
2005-05-02,116.0,116.0,116.0,116.0,0.0,58.344425201416016
2005-05-03,120.83000183105469,116.0,120.0,117.5,2042127.0,59.09888458251953
2005-05-04,117.75,115.0,117.5,115.0,2916468.0,57.8414421081543
2005-05-05,117.75,114.7699966430664,117.75,115.25,12899288.0,57.967201232910156
2005-05-06,116.0,115.0,115.5,115.5,1228916.0,58.09293746948242
2005-05-09,116.0,115.0,116.0,116.0,2986040.0,58.344425201416016
2005-05-10,116.94999694824219,114.0,116.25,114.75,1127626.0,57.71570587158203
2005-05-11,115.0,110.9219970703125,115.0,112.0,4366605.0,56.33254623413086
2005-05-12,112.5,112.0,112.5,112.25,3571799.0,56.45829391479492
2005-05-13,113.0,112.0,113.0,112.0,4197661.0,56.33254623413086
2005-05-16,113.0,112.0,112.0,112.5,134178.0,56.58403396606445
2005-05-17,113.44999694824219,112.5,113.0,113.0,1131429.0,56.835514068603516
2005-05-18,113.69999694824219,112.55000305175781,113.0,113.5,2183704.0,57.08699417114258
2005-05-19,121.0,114.0,114.0,120.0,2617091.0,60.356300354003906
2005-05-20,124.0,121.0,122.0,123.5,616910.0,62.1166877746582
2005-05-23,123.25,120.05000305175781,123.0,120.75,1095580.0,60.733516693115234
2005-05-24,121.88999938964844,119.0,121.5,120.25,9812390.0,60.482032775878906
2005-05-25,120.43599700927734,119.0,120.0,120.0,3020535.0,60.356300354003906
2005-05-26,121.0,119.0,119.0,120.0,518354.0,60.356300354003906
2005-05-27,121.0,120.0,120.0,120.75,3601833.0,60.733516693115234
2005-05-30,120.75,120.75,120.75,120.75,0.0,60.733516693115234
2005-05-31,123.0,120.0,121.75,120.0,182677.0,60.356300354003906
2005-06-01,125.0,120.81600189208984,121.0,125.0,867394.0,62.871150970458984
2005-06-02,127.94999694824219,123.0,123.0,124.0,2971981.0,62.368167877197266
2005-06-03,129.9499969482422,127.25,128.0,129.5,9785344.0,65.1344985961914
2005-06-06,132.0,128.0500030517578,130.75,131.0,3825653.0,65.88894653320312
2005-06-07,131.4499969482422,130.0,130.0,131.0,3984790.0,65.88894653320312
2005-06-08,135.27000427246094,131.0,131.0,134.25,4816479.0,67.52362060546875
2005-06-09,137.5,133.0500030517578,135.0,137.5,5617001.0,69.15825653076172
2005-06-10,139.0,135.0,135.0,138.25,3439887.0,69.53548431396484
2005-06-13,144.0,138.5500030517578,139.5,143.0,4805194.0,71.9245834350586
2005-06-14,144.9499969482422,142.0,142.0,143.0,5311411.0,71.9245834350586
2005-06-15,148.0,142.5,142.5,148.0,4860700.0,74.43943786621094
2005-06-16,155.5,146.5500030517578,148.0,154.5,2408192.0,77.708740234375
2005-06-17,158.5,154.69000244140625,155.0,157.75,8628480.0,79.34337615966797
2005-06-20,155.0,148.0,155.0,152.0,9570687.0,76.45128631591797
2005-06-21,154.0,152.55599975585938,153.0,153.0,7175983.0,76.95428466796875
2005-06-22,153.9499969482422,151.0,153.5,153.0,1592763.0,76.95428466796875
2005-06-23,154.0,150.0,152.0,153.0,6626877.0,76.95428466796875
2005-06-24,152.0,150.0,151.75,150.0,1120108.0,75.44536590576172
2005-06-27,151.9499969482422,149.25,150.5,149.5,2193295.0,75.19386291503906
2005-06-28,150.6999969482422,149.0,150.0,149.5,977748.0,75.19386291503906
2005-06-29,148.8000030517578,147.0,148.5,147.75,3633647.0,74.31367492675781
2005-06-30,148.75,145.35000610351562,148.75,146.5,3108758.0,73.68497467041016
2005-07-01,147.5,145.0,147.0,146.5,3818296.0,73.68497467041016
2005-07-04,146.5,143.0,146.25,145.0,691719.0,72.93052673339844
2005-07-05,147.0,142.0500030517578,144.0,145.5,731976.0,73.18201446533203
2005-07-06,152.5,145.25,146.5,149.5,2557431.0,75.19386291503906
2005-07-07,152.0,141.25,150.25,152.0,1859399.0,76.45128631591797
2005-07-08,157.25,150.0500030517578,152.25,153.5,2700810.0,77.20577239990234
2005-07-11,155.0,153.0,155.0,153.25,851426.0,77.08002471923828
2005-07-12,153.9499969482422,149.6999969482422,150.25,151.5,1866711.0,76.19983673095703
2005-07-13,152.0,150.75,152.0,150.75,549926.0,75.82259368896484
2005-07-14,150.5,148.0,150.0,148.0,2406180.0,74.43943786621094
2005-07-15,149.0,146.0,147.75,148.0,1564711.0,74.43943786621094
2005-07-18,152.4499969482422,148.0,152.0,149.75,922228.0,75.31961059570312
2005-07-19,158.0,148.0,148.5,155.0,729974.0,77.96019744873047
2005-07-20,153.5,151.0,152.5,151.0,3193619.0,75.94833374023438
2005-07-21,153.0,148.0,152.0,148.0,363185.0,74.43943786621094
2005-07-22,155.0,148.0500030517578,149.0,154.0,2223076.0,77.457275390625
2005-07-25,159.89999389648438,150.5,154.75,154.5,1013803.0,77.708740234375
2005-07-26,156.0,151.25,155.0,151.25,766540.0,76.0740966796875
2005-07-27,153.5590057373047,151.0500030517578,152.5,152.0,424506.0,76.45128631591797
2005-07-28,155.25,152.0,154.75,155.0,2354675.0,77.96019744873047
2005-07-29,159.5,154.5,154.75,159.5,3183482.0,80.22357940673828
2005-08-01,162.5,157.0,159.5,162.0,1196496.0,81.48099517822266
2005-08-02,165.0,161.0,163.0,161.75,1534731.0,81.35526275634766
2005-08-03,161.75,157.5,161.5,159.75,2089647.0,80.34928894042969
2005-08-04,160.5,158.75,158.75,159.5,827173.0,80.22357940673828
2005-08-05,160.22999572753906,159.0,159.0,160.0,269736.0,80.47506713867188
2005-08-08,160.24000549316406,158.75,160.0,159.0,77185.0,79.97209167480469
2005-08-09,159.77999877929688,157.0,159.0,157.0,1102205.0,78.96617889404297
2005-08-10,158.0,154.0,157.0,154.0,391630.0,77.457275390625
2005-08-11,157.0,152.25,153.0,153.0,400968.0,76.95428466796875
2005-08-12,154.0,150.0,154.0,151.0,297076.0,75.94833374023438
2005-08-15,150.66000366210938,147.99000549316406,150.0,149.5,357688.0,75.19386291503906
2005-08-16,151.0,147.5,151.0,149.0,93678.0,74.94239044189453
2005-08-17,149.27499389648438,146.0,149.0,146.0,302483.0,73.43348693847656
