Date,High,Low,Open,Close,Volume,Adj Close
2005-01-03,852.5,852.5,852.5,852.5,0.0,503.4595642089844
2005-01-04,858.0,840.0,840.0,850.0,2651.0,501.9830017089844
2005-01-05,851.7000122070312,835.0,840.0,837.5,104802.0,494.6009216308594
2005-01-06,840.0999755859375,840.0,840.0,845.0,41572.0,499.0300598144531
2005-01-07,842.0,837.0,837.0,842.5,16620.0,497.55377197265625
2005-01-10,895.0,856.1199951171875,890.0,860.0,29386.0,507.8887023925781
2005-01-11,870.0,850.0,856.0,852.5,168895.0,503.4595642089844
2005-01-12,862.0,850.0,855.0,855.0,42244.0,504.935791015625
2005-01-13,860.0,855.0,857.5,855.0,16784.0,504.935791015625
2005-01-14,865.0,835.0,850.0,835.0,247256.0,493.1246337890625
2005-01-17,840.0,831.0,835.0,839.0,39899.0,495.48675537109375
2005-01-18,839.0,832.0,832.0,835.5,23088.0,493.4197692871094
2005-01-19,839.0,832.0,832.0,835.5,935.0,493.4197692871094
2005-01-20,850.0,838.0,839.0,842.5,3387.0,497.55377197265625
2005-01-21,850.0,837.0,850.0,843.5,120750.0,498.1443176269531
2005-01-24,840.0,830.0,840.0,835.5,32449.0,493.4197692871094
2005-01-25,840.0,832.5,840.0,835.0,5307.0,493.1246337890625
2005-01-26,855.0,845.0,845.0,847.5,5638.0,500.5065612792969
2005-01-27,880.0,840.4199829101562,852.0,877.0,23387.0,517.9284057617188
2005-01-28,875.0,860.0,875.0,872.5,17111.0,515.2708129882812
2005-01-31,880.0,860.0,860.0,875.0,93287.0,516.7472534179688
2005-02-01,890.0,860.0,860.0,890.0,8314.0,525.605712890625
2005-02-02,895.0,880.4400024414062,890.0,887.5,10807.0,524.12939453125
2005-02-03,900.0,880.5,895.0,887.5,86960.0,524.12939453125
2005-02-04,894.0,875.5,894.0,882.5,1967.0,521.1764526367188
2005-02-07,880.0,879.5,879.5,879.0,181567.0,519.1094360351562
2005-02-08,885.0,875.0,885.0,883.0,8866.0,521.4717407226562
2005-02-09,898.0,875.0,875.5,877.5,3068.0,518.2236328125
2005-02-10,883.0,879.1199951171875,882.0,880.5,43290.0,519.9952392578125
2005-02-11,895.0,875.0,880.0,882.0,145018.0,520.881103515625
2005-02-14,885.0,875.0,883.0,875.0,223368.0,516.7472534179688
2005-02-15,878.0,875.0,875.0,877.5,175950.0,518.2236328125
2005-02-16,880.0,870.0,875.0,875.0,103935.0,516.7472534179688
2005-02-17,873.0,865.0,871.0,866.5,134415.0,511.7275085449219
2005-02-18,865.0,860.0,860.0,862.0,86063.0,509.06988525390625
2005-02-21,861.0,857.0,857.0,825.0,20917.0,487.2188415527344
2005-02-22,849.5,820.0,830.0,820.0,20795.0,484.2659606933594
2005-02-23,820.0,808.0,820.0,815.0,24732.0,481.3130187988281
2005-02-24,820.0,809.8380126953125,810.5,815.5,280206.0,481.6084289550781
2005-02-25,825.0,815.0,825.0,819.0,180810.0,483.6754150390625
