Date,High,Low,Open,Close,Volume,Adj Close
2005-01-03,635.0,635.0,635.0,635.0,0.0,448.683837890625
2005-01-04,630.0,615.0,629.5,623.5,7957.0,440.5580749511719
2005-01-05,630.0,615.0,630.0,617.0,19388.0,435.9652404785156
2005-01-06,640.0,623.5,628.0,640.0,156391.0,452.216796875
2005-01-07,643.0,632.0,640.0,632.0,19105.0,446.5639953613281
2005-01-10,660.0,632.5,643.0,653.0,181904.0,461.40252685546875
2005-01-11,660.0,645.0,660.0,650.0,20143.0,459.2826232910156
2005-01-12,663.0,645.0,655.0,651.5,36364.0,460.3424377441406
2005-01-13,669.0,650.0,660.0,667.5,140849.0,471.6479797363281
2005-01-14,670.0,665.0,670.0,668.5,88741.0,472.3543701171875
2005-01-17,675.0,661.0,672.0,668.5,23445.0,472.3543701171875
2005-01-18,669.0,650.0,669.0,650.0,30686.0,459.2826232910156
2005-01-19,662.0,650.0,660.0,662.0,18858.0,467.7615966796875
2005-01-20,661.5,651.0,655.5,655.0,444802.0,462.815673828125
2005-01-21,670.0,654.0,655.0,665.0,22239.0,469.8813781738281
2005-01-24,676.0,660.0,660.0,670.0,146537.0,473.414306640625
2005-01-25,680.906005859375,670.0,680.0,671.0,71553.0,474.1209716796875
2005-01-26,737.5,680.0,685.0,728.0,879511.0,514.396484375
2005-01-27,732.0,715.5,720.0,719.0,126961.0,508.0372314453125
2005-01-28,725.0,715.0,715.0,715.5,113350.0,505.56427001953125
2005-01-31,750.0,715.0,721.0,744.0,392999.0,525.7020263671875
2005-02-01,770.0,742.6500244140625,745.0,756.0,142378.0,534.1812133789062
2005-02-02,778.5,755.0,758.0,759.5,55735.0,536.6541748046875
2005-02-03,770.0,755.0,760.0,755.5,114083.0,533.827880859375
2005-02-04,765.0,751.5,755.0,755.0,323595.0,533.4744262695312
2005-02-07,767.0,750.0,755.5,751.5,217981.0,531.0014038085938
2005-02-08,756.75,750.0,752.0,750.0,66303.0,529.9413452148438
2005-02-09,753.0,746.5,747.0,747.0,40005.0,527.82177734375
2005-02-10,750.0,735.0,745.0,749.5,74915.0,529.5882568359375
2005-02-11,748.0,740.0,745.5,744.0,12494.0,525.7020263671875
2005-02-14,750.0,738.0,744.0,740.0,16905.0,522.8755493164062
2005-02-15,745.0,735.0,736.0,735.0,89673.0,519.3425903320312
2005-02-16,740.3699951171875,719.0,736.0,719.0,119716.0,508.0372314453125
2005-02-17,729.5,720.0,724.0,726.5,11986.0,513.3366088867188
2005-02-18,735.0,720.0,733.5,723.0,10339.0,510.8636474609375
2005-02-21,734.0,723.0,734.0,739.0,11622.0,522.1690063476562
2005-02-22,736.0,723.5,725.5,736.0,42459.0,520.0492553710938
2005-02-23,728.0,724.5,725.0,727.5,94711.0,514.0430908203125
2005-02-24,738.5,725.5,729.0,735.0,104610.0,519.3425903320312
2005-02-25,745.0,736.5999755859375,740.0,733.5,30782.0,518.2828979492188
2005-02-28,745.0,726.5,740.0,726.5,27293.0,513.3366088867188
2005-03-01,740.0,730.0,735.0,731.0,34248.0,516.5162963867188
2005-03-02,756.0,735.0,735.0,735.0,122175.0,519.3425903320312
2005-03-03,741.0,730.0,738.0,730.0,25436.0,515.8096313476562
2005-03-04,741.0,730.0,730.0,733.0,46858.0,517.9295654296875
2005-03-07,743.5,733.0,733.0,740.5,78099.0,523.2289428710938
2005-03-08,750.0,735.0,746.5,735.0,88666.0,519.3425903320312
2005-03-09,743.0,725.0,730.0,730.0,112097.0,520.1263427734375
2005-03-10,739.0,725.0,732.0,729.5,150737.0,519.7701416015625
2005-03-11,733.5,729.0,730.0,733.5,178751.0,522.6202392578125
