Date,High,Low,Open,Close,Volume,Adj Close
2020-02-03,244.0,236.0,236.0,242.0,587999.0,239.8311309814453
2020-02-04,248.5,244.0,244.0,246.0,307995.0,243.7952880859375
2020-02-05,250.6300048828125,246.0,246.0,249.0,235944.0,246.7683868408203
2020-02-06,254.0,250.0,252.0,251.0,335533.0,248.75047302246094
2020-02-07,254.0,247.0,251.0,248.0,518535.0,245.77735900878906
2020-02-10,248.0,244.0,246.0,246.0,485751.0,243.7952880859375
2020-02-11,251.0,247.0,248.0,250.0,393831.0,247.75942993164062
2020-02-12,253.0,248.0,252.0,251.0,333717.0,248.75047302246094
2020-02-13,252.4290008544922,247.0,252.0,248.0,188989.0,245.77735900878906
2020-02-14,253.0,248.0,253.0,251.0,295259.0,248.75047302246094
2020-02-17,255.0,249.0,252.0,249.0,209128.0,246.7683868408203
2020-02-18,252.0,248.0,248.0,248.0,280692.0,245.77735900878906
2020-02-19,253.0,248.0,249.0,250.0,376489.0,247.75942993164062
2020-02-20,253.0,249.0,253.0,250.0,641122.0,247.75942993164062
2020-02-21,250.0,246.33299255371094,250.0,248.0,320892.0,245.77735900878906
2020-02-24,246.60000610351562,234.0,242.0,238.0,713246.0,235.86697387695312
2020-02-25,240.3509979248047,234.0,236.0,234.0,540684.0,231.90283203125
2020-02-26,237.0,231.0,237.0,234.0,1502392.0,231.90283203125
2020-02-27,236.0,218.0,236.0,221.0,1202511.0,219.0193328857422
2020-02-28,219.0,197.5,214.0,213.0,1083632.0,211.09103393554688
2020-03-02,223.0,213.0,213.0,220.0,837466.0,218.02830505371094
2020-03-03,228.0,221.0,225.0,223.0,598950.0,221.0014190673828
2020-03-04,231.37600708007812,222.0,222.0,226.0,448483.0,223.9745330810547
2020-03-05,233.0,224.0,227.0,224.0,605753.0,221.99244689941406
2020-03-06,223.8000030517578,205.23300170898438,222.0,216.0,1203331.0,214.06414794921875
2020-03-09,216.0,216.0,216.0,216.0,0.0,214.06414794921875
2020-03-10,212.0,204.22000122070312,210.0,210.0,627683.0,208.117919921875
2020-03-11,214.0,207.0,210.0,210.0,387224.0,208.117919921875
2020-03-12,203.0,190.0,201.0,200.0,1067608.0,198.20755004882812
2020-03-13,218.0,201.0,205.0,208.0,746686.0,206.13584899902344
2020-03-16,202.0,188.0,202.0,194.0,1084430.0,192.26132202148438
2020-03-17,202.0,182.0,202.0,182.0,825462.0,180.36886596679688
