Date,High,Low,Open,Close,Volume,Adj Close
2016-07-05,259.9639892578125,255.53599548339844,256.0,259.375,570587,259.375
2016-07-06,265.0,259.5,262.0,265.0,419154,265.0
2016-07-07,269.75,265.70001220703125,267.5,268.25,850740,268.25
2016-07-08,270.0,266.25,270.0,270.125,705355,270.125
2016-07-11,269.4289855957031,265.5,269.4289855957031,266.0,2755,266.0
2016-07-12,266.0,261.3999938964844,266.0,264.25,97729,264.25
2016-07-13,265.6080017089844,262.25,262.25,264.625,916601,264.625
2016-07-14,267.5,265.92498779296875,266.5,265.625,80887,265.625
2016-07-15,263.5,261.79998779296875,262.0,263.5,1255845,263.5
2016-07-18,266.15399169921875,265.25,266.0,267.125,100763,267.125
2016-07-19,267.0,265.0,265.0,267.5,27000,267.5
2016-07-20,270.0,267.0,267.0,270.0,399550,270.0
2016-07-21,270.75,267.0,270.0,269.875,374959,269.875
2016-07-22,269.75,267.75,267.75,269.5,1006881,269.5
2016-07-25,268.75,268.0,268.0,269.0,6000,269.0
2016-07-26,268.75,264.75,264.75,267.0,47856,267.0
2016-07-27,268.8819885253906,266.0,266.0,268.375,22711,268.375
2016-07-28,268.760986328125,267.0,268.0,267.5,13456,267.5
2016-07-29,269.0,267.0,267.0,267.5,43128,267.5
2016-08-01,269.25,267.8059997558594,269.0,268.75,34476,268.75
2016-08-02,266.5,262.375,266.5,262.5,70856,262.5
2016-08-03,260.0,257.25,259.25,258.5,363960,258.5
2016-08-04,262.5,257.5,258.0,261.25,5251326,261.25
2016-08-05,265.75,260.0,262.5,264.75,678071,264.75
2016-08-08,266.75,264.75,265.75,266.625,31812,266.625
2016-08-09,270.0,266.75,266.75,270.0,36416,270.0
2016-08-10,276.0,269.48699951171875,270.5,276.0,52125,276.0
2016-08-11,283.25,277.0,277.0,283.25,87452,283.25
2016-08-12,282.75,278.25,282.75,281.0,27531,281.0
2016-08-15,283.92498779296875,279.0,280.75,283.75,479247,283.75
2016-08-16,285.0,282.0,283.5,282.0,188180,282.0
2016-08-17,280.8389892578125,278.5,279.25,280.75,77770,280.75
2016-08-18,281.8280029296875,278.6449890136719,280.75,281.75,54488,281.75
2016-08-19,284.0,278.75,281.75,283.0,483835,283.0
2016-08-22,281.75,278.75,279.25,280.625,27883,280.625
2016-08-23,282.25,278.3030090332031,281.75,282.0,35105,282.0
2016-08-24,282.0249938964844,277.75,277.75,279.875,9973,279.875
2016-08-25,282.0,280.0,280.0,279.875,253531,279.875
2016-08-26,281.75,281.75,281.75,281.75,0,281.75
2016-08-30,284.0,282.0,282.0,283.0,63177,283.0
2016-08-31,285.25,284.0,284.0,284.625,55752,284.625
2016-09-01,291.0,282.5,282.5,290.0,1210452,290.0
2016-09-02,291.75,287.1789855957031,291.5,291.125,1325787,291.125
2016-09-05,293.75,288.5,291.75,288.5,1245607,288.5
2016-09-06,290.0,287.0,290.0,287.0,409788,287.0
2016-09-07,288.0,285.0,287.0,286.0,423371,286.0
2016-09-08,287.5,285.0,287.0,285.5,367731,285.5
2016-09-09,286.32000732421875,284.25,286.0,284.25,293573,284.25
2016-09-12,283.0,282.75,283.0,282.75,238920,282.75
2016-09-13,282.25,281.75,282.25,281.75,1582213,281.75
2016-09-14,282.0,281.0780029296875,282.0,281.5,1895632,281.5
2016-09-15,283.0,281.0,281.0,282.0,1376583,282.0
2016-09-16,288.0,282.0,282.0,288.0,7203643,288.0
2016-09-19,286.0,283.0,283.0,286.0,172885,286.0
2016-09-20,287.0,284.75,285.0,285.0,496714,285.0
2016-09-21,287.25,284.0,285.5,285.0,1287668,285.0
2016-09-22,288.0,285.0,285.0,286.5,666628,286.5
2016-09-23,291.0,287.0,287.0,291.0,73866,291.0
2016-09-26,292.0,288.5,291.25,290.375,194709,290.375
2016-09-27,292.75,288.5,291.5,292.75,361327,292.75
2016-09-28,297.5,293.0,293.0,297.0,384483,297.0
2016-09-29,300.0,295.5,297.5,300.0,117190,300.0
2016-09-30,300.0,299.75,299.75,298.625,61774,298.625
2016-10-03,305.0,299.31298828125,300.0,302.5,249854,302.5
2016-10-04,311.5,300.0,303.0,311.5,630511,311.5
2016-10-05,310.75,306.75,310.75,307.0,183165,307.0
2016-10-06,310.25,306.5,306.5,307.75,50974,307.75
2016-10-07,313.0,308.0,308.0,311.0,245242,311.0
2016-10-10,313.0,308.5,313.0,309.625,125758,309.625
2016-10-11,311.5,308.0,308.0,311.5,37219,311.5
2016-10-12,313.25,309.5,311.5,310.0,169042,310.0
2016-10-13,313.5,311.7030029296875,313.5,312.0,36692,312.0
2016-10-14,313.5,312.0,312.0,313.5,146006,313.5
2016-10-17,315.0,311.1159973144531,313.5,315.0,79881,315.0
2016-10-18,316.0,311.2799987792969,315.0,316.0,58970,316.0
2016-10-19,317.0,312.75,316.75,316.125,33258,316.125
2016-10-20,317.25,312.0,317.25,313.75,93110,313.75
2016-10-21,313.75,310.0,310.0,311.375,74637,311.375
2016-10-24,313.0,309.0,309.0,312.0,10957,312.0
2016-10-25,313.0,308.25,312.5,309.875,23132,309.875
2016-10-26,310.25,303.5,310.25,303.875,75830,303.875
2016-10-27,309.25,303.75,303.75,309.25,144164,309.25
2016-10-28,308.0,304.5,308.0,307.25,53919,307.25
2016-10-31,307.3160095214844,304.5,307.0,306.5,106474,306.5
2016-11-01,310.0,307.0,307.0,308.125,292684,308.125
2016-11-02,309.0,305.3630065917969,309.0,307.0,65076,307.0
2016-11-03,307.0,303.0,304.0,303.5,737986,303.5
2016-11-04,306.0,303.0,306.0,303.875,21424,303.875
2016-11-07,308.75,304.25,308.75,306.0,11843,306.0
2016-11-08,309.0,304.0,307.0,308.75,31913,308.75
2016-11-09,309.0,297.5,300.0,306.0,36035,306.0
2016-11-10,313.5,308.5,311.75,310.75,54664,310.75
2016-11-11,310.0,305.0,307.25,307.5,470129,307.5
2016-11-14,309.0,305.0,308.75,306.125,215171,306.125
2016-11-15,308.5,305.0,308.0,306.0,501217,306.0
2016-11-16,307.25,303.25,307.0,305.5,59195,305.5
2016-11-17,307.75,303.5,307.75,303.5,138814,303.5
2016-11-18,308.25,303.25,308.25,304.375,28950,304.375
2016-11-21,307.75,302.75,307.75,302.75,8096,302.75
2016-11-22,305.0,301.5,301.5,303.75,155922,303.75
2016-11-23,305.0,302.0,305.0,302.875,31159,302.875
2016-11-24,303.75,300.0,303.75,301.5,239984,301.5
2016-11-25,301.0,299.5,301.0,300.5,103015,300.5
2016-11-28,300.75,297.0,299.75,299.0,69112,299.0
2016-11-29,300.75,297.0660095214844,300.5,300.0,64758,300.0
2016-11-30,300.6029968261719,297.5,298.5,297.875,88423,297.875
2016-12-01,299.75,295.0,299.75,295.0,27995,295.0
2016-12-02,294.68798828125,293.0,294.25,294.0,37031,294.0
2016-12-05,295.0,291.0,295.0,293.0,236055,293.0
2016-12-06,290.3420104980469,283.0,290.0,283.0,107292,283.0
2016-12-07,288.25,283.0,288.25,285.5,80054,285.5
2016-12-08,288.17498779296875,285.0,285.0,287.5,190385,287.5
2016-12-09,288.43798828125,286.25,287.5,287.125,485546,287.125
2016-12-12,285.56298828125,284.5,284.5,284.75,502534,284.75
2016-12-13,284.375,282.75,283.25,282.75,27790,282.75
2016-12-14,287.5,283.0,283.25,287.5,3654,287.5
2016-12-15,285.75201416015625,280.0,282.5,280.0,65450,280.0
2016-12-16,284.25,279.25,282.0,284.0,795700,284.0
2016-12-19,283.4830017089844,280.0,281.5,282.75,10177,282.75
2016-12-20,286.0,282.5,282.5,284.375,921375,284.375
2016-12-21,289.0,284.0,286.5,288.0,50169,288.0
2016-12-22,284.25,276.0,284.25,280.0,393575,280.0
2016-12-23,275.75,273.75,275.25,275.75,199869,275.75
2016-12-28,279.0,275.75,275.75,280.375,33003,280.375
2016-12-29,288.75,279.75,279.75,288.75,28223,288.75
2016-12-30,295.5,290.0,290.0,295.5,307525,295.5
2017-01-03,299.9200134277344,292.0,296.0,297.0,111380,297.0
2017-01-04,300.0,294.0,298.0,300.0,5805,300.0
2017-01-05,299.0,297.0,297.0,297.5,7555,297.5
2017-01-06,296.5,296.0,296.5,296.0,37132,296.0
2017-01-09,299.0,297.0,299.0,299.0,2073,299.0
2017-01-10,302.0,292.0,298.0,301.125,4570157,301.125
2017-01-11,309.25,302.0,309.25,309.25,855147,309.25
2017-01-12,313.0,302.0,313.0,309.125,14925,309.125
2017-01-13,313.25,310.0,313.25,309.625,90572,309.625
2017-01-16,309.3160095214844,307.31298828125,309.0,307.75,13243,307.75
2017-01-17,310.0,306.25,310.0,307.25,170047,307.25
2017-01-18,309.0,305.0,309.0,306.0,30341,306.0
2017-01-19,307.0,302.0,307.0,305.0,23843,305.0
2017-01-20,307.0,303.375,307.0,303.0,12789,303.0
2017-01-23,304.0,302.625,304.0,303.0,43559,303.0
2017-01-24,304.75,302.75,304.0,303.75,307733,303.75
2017-01-25,306.75,303.0,306.75,305.0,42700,305.0
2017-01-26,305.0,304.25,305.0,305.0,5685,305.0
2017-01-27,305.0,302.75,305.0,303.125,7900,303.125
2017-01-30,304.75,302.0,304.75,303.0,128674,303.0
2017-01-31,305.0,303.0,305.0,304.375,113446,304.375
2017-02-01,307.75,302.5,302.5,306.125,42195,306.125
2017-02-02,308.25,305.5,308.25,306.75,3010,306.75
2017-02-03,309.5,306.5,309.5,309.0,2258,309.0
2017-02-06,309.25,307.0,307.0,308.875,212454,308.875
2017-02-07,312.25,309.5,311.75,311.375,1143776,311.375
2017-02-08,313.0,308.4859924316406,312.5,312.25,14644,312.25
2017-02-09,313.25,308.5,313.0,311.5,12111,311.5
2017-02-10,313.0,310.0,312.0,312.0,78244,312.0
2017-02-13,313.4599914550781,309.75,313.0,312.0,29817,312.0
2017-02-14,313.25,312.43798828125,313.0,312.625,35556,312.625
2017-02-15,315.75,313.0799865722656,314.0,314.875,330279,314.875
2017-02-16,315.0740051269531,310.75,310.75,313.75,1015,313.75
2017-02-17,322.0,316.0,316.0,322.0,1274065,322.0
2017-02-20,323.25,320.0,323.25,322.0,586998,322.0
2017-02-21,324.0,320.3789978027344,324.0,323.5,266131,323.5
2017-02-22,323.5,320.25,323.5,321.625,413607,321.625
2017-02-23,323.5,322.0,323.0,322.75,273731,322.75
2017-02-24,324.5,323.0,324.5,323.75,508860,323.75
2017-02-27,326.43499755859375,323.0,323.0,324.5,294443,324.5
2017-02-28,324.0,321.0,324.0,321.0,223414,321.0
2017-03-01,324.0,322.0,324.0,324.0,6816,324.0
2017-03-02,325.75,320.0,325.75,321.5,11485,321.5
2017-03-03,326.5,319.25,319.25,324.25,14811,324.25
2017-03-06,328.0,321.25,327.0,324.0,10973,324.0
2017-03-07,325.43798828125,322.0,322.0,325.25,4222,325.25
2017-03-08,328.01800537109375,324.7250061035156,325.0,325.0,81296,325.0
2017-03-09,330.0,325.25,330.0,328.5,111752,328.5
2017-03-10,329.4750061035156,327.25,327.25,328.5,2796,328.5
2017-03-13,330.0,327.0,329.75,328.5,9641,328.5
2017-03-14,330.2250061035156,327.75,327.75,330.875,113543,330.875
2017-03-15,332.0,330.0,330.25,332.0,26940,332.0
2017-03-16,332.5,330.0,330.0,331.375,50123,331.375
2017-03-17,332.0,330.0,330.0,331.25,432402,331.25
2017-03-20,332.75,332.4880065917969,332.5,332.75,6668,332.75
2017-03-21,336.0,331.0,336.0,332.0,103777,332.0
2017-03-22,331.0,321.75,331.0,325.5,134175,325.5
2017-03-23,328.0,324.0,324.0,328.0,221582,328.0
2017-03-24,330.0,325.5,325.5,330.0,24360,330.0
2017-03-27,329.75,325.75,326.75,329.75,6320,329.75
2017-03-28,330.0,325.25,329.75,327.75,6268,327.75
2017-03-29,331.3580017089844,326.0,326.0,330.0,65938,330.0
2017-03-30,332.5,327.25,330.0,330.0,94956,330.0
2017-03-31,330.0,328.0,328.0,330.0,62632,330.0
2017-04-03,336.0,330.0,330.0,334.5,68505,334.5
2017-04-04,337.0,334.75,336.75,336.75,100937,336.75
2017-04-05,335.0,333.0,333.0,334.0,56335,334.0
2017-04-06,336.0,335.0,335.0,335.5,50401,335.5
2017-04-07,336.0,334.0,334.0,334.0,40304,334.0
2017-04-10,336.1940002441406,333.375,334.0,334.5,60820,334.5
2017-04-11,336.0,333.0,334.0,336.0,65292,336.0
2017-04-12,335.0,333.0,333.0,335.0,11037,335.0
2017-04-13,332.5,332.0,332.5,332.0,692,332.0
2017-04-18,333.7130126953125,325.0,332.0,325.25,32866,325.25
2017-04-19,323.75,318.5,323.75,320.0,148197,320.0
2017-04-20,323.0,318.0,323.0,320.125,14608,320.125
2017-04-21,322.8039855957031,319.0,322.25,319.75,16760,319.75
2017-04-24,323.0,320.0,320.0,321.5,34079,321.5
2017-04-25,321.75,316.0,320.25,319.0,106089,319.0
2017-04-26,323.25,319.0,320.5,319.0,416170,319.0
2017-04-27,322.5,319.0,319.0,322.5,38703,322.5
2017-04-28,323.0,320.43798828125,322.5,321.0,40278,321.0
2017-05-02,324.75,321.75,324.75,323.0,53529,323.0
2017-05-03,325.0,322.25,323.75,324.0,128568,324.0
2017-05-04,325.75,324.0,325.75,324.0,13646,324.0
2017-05-05,325.75,323.0,323.0,325.75,4347,325.75
2017-05-08,325.0,323.0,323.25,324.0,15842,324.0
2017-05-09,325.25,323.5,323.5,325.0,654395,325.0
2017-05-10,330.06298828125,325.5,325.5,330.0,154974,330.0
2017-05-11,331.0,326.5,327.0,329.375,294868,329.375
2017-05-12,330.0,329.0,329.5,329.75,170312,329.75
2017-05-15,335.5,330.25,331.0,334.0,217328,334.0
2017-05-16,340.0,334.0,334.0,338.0,123174,338.0
2017-05-17,339.0,337.0,337.25,338.0,82696,338.0
2017-05-18,338.0,336.0,338.0,336.875,17633,336.875
2017-05-19,338.8599853515625,338.0,338.0,338.25,26574,338.25
2017-05-22,345.8599853515625,339.0,339.0,342.75,114685,342.75
2017-05-23,343.5,341.0,342.75,341.75,24232,341.75
2017-05-24,345.0,343.0,344.75,344.0,38568,344.0
2017-05-25,346.5580139160156,344.75,344.75,346.0,32856,346.0
2017-05-26,348.81298828125,347.0,347.0,347.25,27766,347.25
2017-05-30,350.0,346.5,347.75,348.0,4942668,348.0
2017-05-31,350.0,346.25,346.25,348.0,52964,348.0
2017-06-01,351.0,348.5,348.5,350.0,117503,350.0
2017-06-02,350.0,348.0,350.0,348.0,715987,348.0
2017-06-05,350.9739990234375,348.0,348.0,349.0,21115,349.0
2017-06-06,353.75,350.5,350.5,353.0,566706,353.0
2017-06-07,357.25,353.0,353.0,355.75,58028,355.75
2017-06-08,359.75,355.75,356.0,359.75,90962,359.75
2017-06-09,368.0,363.81298828125,366.0,364.125,141195,364.125
2017-06-12,367.42999267578125,364.0,364.25,364.0,112329,364.0
2017-06-13,366.02099609375,364.0,365.0,365.0,756039,365.0
2017-06-14,370.0,366.0,366.0,368.0,427996,368.0
2017-06-15,369.75,365.25,367.0,369.0,482836,369.0
2017-06-16,375.0,368.0,369.75,375.0,115522,375.0
2017-06-19,382.0,373.25,376.75,380.0,109954,380.0
2017-06-20,385.5,377.25,380.25,385.5,283456,385.5
2017-06-21,384.0799865722656,378.0,385.0,378.0,40644,378.0
2017-06-22,384.7149963378906,379.43798828125,379.75,384.0,770719,384.0
