Date,High,Low,Open,Close,Volume,Adj Close
2019-05-30,315.0,295.20001220703125,309.0,305.8999938964844,8405889,305.8999938964844
2019-05-31,309.75,302.0,302.0,308.0,1127111,308.0
2019-06-03,312.0,304.04998779296875,312.0,309.0,849976,309.0
2019-06-04,308.5,295.0,305.0,300.0,312042,300.0
2019-06-05,309.0,292.0,309.0,300.0,204524,300.0
2019-06-06,310.0,286.5,310.0,295.0,539042,295.0
2019-06-07,305.0,290.5,290.5,303.0,574373,303.0
2019-06-10,313.5,304.0,307.0,305.0,509959,305.0
2019-06-11,308.0,305.0,308.0,305.0,163706,305.0
2019-06-12,308.0,304.0,308.0,304.0,74688,304.0
2019-06-13,304.5,295.5,304.5,297.5,18597,297.5
2019-06-14,305.0,297.5,305.0,297.5,167938,297.5
2019-06-17,305.0,296.5,305.0,302.0,14325,302.0
2019-06-18,305.0,295.5,295.5,305.0,1579,305.0
2019-06-19,301.5,278.0,299.5,284.5,67598,284.5
2019-06-20,300.0,283.5,300.0,297.0,11803,297.0
2019-06-21,298.5,298.5,298.5,298.5,249711,298.5
2019-06-24,300.0,288.5,300.0,295.0,72188,295.0
2019-06-25,288.0,265.0,288.0,275.0,144800,275.0
2019-06-26,285.0,274.0,274.0,285.0,343006,285.0
2019-06-27,285.0,275.5,285.0,281.0,111575,281.0
2019-06-28,285.0,270.0,282.0,275.0,1011634,275.0
2019-07-01,290.0,285.0,290.0,288.5,185925,288.5
2019-07-02,291.0,287.0,291.0,287.0,286325,287.0
2019-07-03,291.5,280.0,291.5,287.0,1205235,287.0
2019-07-04,292.0,280.5,280.5,287.0,196430,287.0
2019-07-05,286.0,280.0,285.5,286.0,59048,286.0
2019-07-08,292.0,280.5,292.0,284.5,365773,284.5
2019-07-09,290.5,281.5,290.5,285.0,68808,285.0
2019-07-10,292.0,281.0,287.0,281.5,340793,281.5
2019-07-11,299.5,290.0,294.5,290.0,756756,290.0
2019-07-12,295.5,290.0,295.5,291.0,68789,291.0
2019-07-15,295.0,288.5,295.0,290.0,307008,290.0
2019-07-16,290.0,286.5,290.0,290.0,297028,290.0
2019-07-17,300.0,290.0,300.0,293.0,116458,293.0
2019-07-18,299.5,289.5,290.0,292.0,2295685,292.0
2019-07-19,297.0,288.5,297.0,290.0,111864,290.0
2019-07-22,290.0,288.0,288.0,290.0,70418,290.0
2019-07-23,292.5,275.0,292.5,282.0,260133,282.0
2019-07-24,290.0,277.5,280.0,279.0,136148,279.0
2019-07-25,289.5,277.0,277.5,280.0,477101,280.0
2019-07-26,290.0,280.0,281.0,281.5,8966,281.5
2019-07-29,288.0,275.0,284.5,282.5,96679,282.5
2019-07-30,288.0,280.20001220703125,281.5,285.0,57162,285.0
2019-07-31,285.0,269.5,285.0,284.5,1365142,284.5
2019-08-01,285.0,275.0,280.0,280.0,59997,280.0
2019-08-02,290.0,270.5,290.0,280.0,120041,280.0
2019-08-05,284.5,275.0,275.0,280.0,372959,280.0
2019-08-06,284.5,275.0,276.0,276.5,72852,276.5
2019-08-07,284.5,275.0,275.5,284.0,50663,284.0
2019-08-08,285.0,277.5,277.5,285.0,139745,285.0
2019-08-09,283.5,275.5,282.5,280.0,11426,280.0
2019-08-12,285.0,278.0,284.0,284.0,67149,284.0
2019-08-13,294.5,278.5,278.5,285.0,200822,285.0
2019-08-14,290.5,282.0,290.5,285.0,41367,285.0
2019-08-15,295.0,284.5,285.0,290.5,125002,290.5
2019-08-16,295.0,277.5,277.5,292.0,87990,292.0
2019-08-19,293.0,290.0,290.0,291.0,202447,291.0
2019-08-20,295.0,280.5,293.0,295.0,31711,295.0
2019-08-21,306.5,290.0,294.0,294.0,1325911,294.0
2019-08-22,295.0,290.0,290.0,295.0,28363,295.0
2019-08-23,295.0,291.5,295.0,295.0,37446,295.0
2019-08-27,300.5,290.0,295.0,294.5,300107,294.5
2019-08-28,296.5,292.0,295.0,292.0,48940,292.0
2019-08-29,294.5,285.5,294.5,290.0,14594,290.0
2019-08-30,290.0,272.5,290.0,288.0,275722,288.0
