Date,High,Low,Open,Close,Volume,Adj Close
2005-01-03,76.5,76.5,76.5,76.5,0.0,82.23670196533203
2005-01-04,76.53800201416016,75.0,75.0,76.5,0.0,82.23670196533203
2005-01-05,76.0,74.5,76.0,75.5,0.0,81.16170501708984
2005-01-06,78.5,74.5,76.0,77.5,0.0,83.31167602539062
2005-01-07,80.75,77.5,78.0,80.75,0.0,86.8053970336914
2005-01-10,81.0,79.5,80.5,80.0,0.0,85.9991226196289
2005-01-11,80.52999877929688,79.0,79.5,80.5,0.0,86.53663635253906
2005-01-12,82.0,80.5,81.0,81.0,0.0,87.07414245605469
2005-01-13,83.25,81.0,81.25,83.0,0.0,89.22412872314453
2005-01-14,85.0,81.75,82.25,84.5,0.0,90.83659362792969
2005-01-17,85.0,83.75,84.0,84.75,0.0,91.10535430908203
2005-01-18,86.0,84.5,85.0,85.75,0.0,92.18035888671875
2005-01-19,85.75,84.25,85.25,85.5,0.0,91.91162109375
2005-01-20,85.75,84.25,84.5,85.5,0.0,91.91162109375
2005-01-21,85.75,83.75,85.75,85.0,0.0,91.37411499023438
2005-01-24,85.0,81.27999877929688,84.0,82.25,0.0,88.41789245605469
2005-01-25,83.0,80.5,81.75,82.25,0.0,88.41789245605469
2005-01-26,82.0,80.37899780273438,81.75,81.75,0.0,87.88038635253906
2005-01-27,82.5,81.55000305175781,82.0,81.75,0.0,87.88038635253906
2005-01-28,86.5,81.29000091552734,82.25,84.75,0.0,91.10535430908203
2005-01-31,89.25,84.5,85.0,88.0,0.0,94.59904479980469
2005-02-01,91.5,88.0,89.5,90.25,0.0,97.01777648925781
2005-02-02,93.75,89.75,91.0,93.25,0.0,100.24275207519531
2005-02-03,95.5,92.75,94.0,93.25,0.0,100.24275207519531
2005-02-04,96.0,92.5,94.0,94.5,0.0,101.58650207519531
2005-02-07,101.0,95.0,95.0,99.75,0.0,107.23018646240234
2005-02-08,102.25,98.75,100.0,100.5,0.0,108.03646087646484
2005-02-09,102.5,99.25,100.75,100.75,0.0,108.30518341064453
2005-02-10,100.55000305175781,96.25,100.5,98.5,0.0,105.8864517211914
2005-02-11,104.25,97.87999725341797,98.0,104.0,0.0,111.79889678955078
2005-02-14,105.5,102.0,104.5,102.5,0.0,110.1864242553711
2005-02-15,104.75,102.5,102.5,103.0,0.0,110.72390747070312
2005-02-16,103.5,100.25,103.0,103.0,0.0,110.72390747070312
2005-02-17,103.25,102.0,102.75,102.5,0.0,110.1864242553711
2005-02-18,106.0,101.25,102.0,105.0,0.0,112.87386322021484
2005-02-21,105.25,101.75,105.25,101.75,0.0,109.38016510009766
2005-02-22,104.44999694824219,101.25,102.0,103.75,0.0,111.5301284790039
2005-02-23,119.31300354003906,101.4000015258789,103.0,105.0,0.0,112.87386322021484
2005-02-24,108.0,104.5,105.25,106.75,0.0,114.7551040649414
2005-02-25,110.0,106.0,107.0,109.0,0.0,117.1738510131836
2005-02-28,109.37000274658203,107.5999984741211,108.5,108.5,0.0,116.63632202148438
2005-03-01,108.5,106.5,108.0,107.5,0.0,115.56134033203125
2005-03-02,108.45700073242188,105.75,107.5,106.5,0.0,114.48638153076172
2005-03-03,107.0,106.0,106.5,106.75,0.0,114.7551040649414
2005-03-04,107.0,106.5,107.0,107.0,0.0,115.02384948730469
2005-03-07,106.5,102.75,106.5,102.75,0.0,110.45514678955078
2005-03-08,108.0,102.5999984741211,103.25,106.0,0.0,113.94886779785156
2005-03-09,106.55500030517578,103.5,105.75,103.5,0.0,111.26138305664062
2005-03-10,105.25,102.0,103.75,103.25,0.0,110.9926528930664
2005-03-11,105.0,101.75,103.5,104.0,0.0,111.79889678955078
2005-03-14,106.5,96.9000015258789,103.0,104.75,0.0,112.60511779785156
2005-03-15,106.75,103.5,104.25,106.0,0.0,113.94886779785156
2005-03-16,107.0,103.25,107.0,105.0,0.0,112.87386322021484
2005-03-17,106.5,104.0,105.75,105.75,0.0,113.6801528930664
2005-03-18,108.0,101.22000122070312,106.5,103.0,0.0,110.72390747070312
2005-03-21,109.27999877929688,102.80000305175781,103.25,108.75,0.0,116.90508270263672
2005-03-22,109.5,105.5,108.75,107.0,0.0,115.02384948730469
2005-03-23,107.25,103.0,107.0,103.0,0.0,110.72390747070312
2005-03-24,107.0,103.75,103.75,106.5,0.0,114.48638153076172
2005-03-25,106.5,106.5,106.5,106.5,0.0,114.48638153076172
2005-03-28,106.5,106.5,106.5,106.5,0.0,114.48638153076172
2005-03-29,106.0,105.5,105.5,106.0,0.0,113.94886779785156
2005-03-30,105.5,103.5,105.0,104.0,0.0,111.79889678955078
2005-03-31,106.5,105.0,105.0,105.75,0.0,113.6801528930664
2005-04-01,108.25,106.0,106.0,107.5,0.0,115.56134033203125
2005-04-04,108.75,107.0,107.75,108.5,0.0,116.63632202148438
2005-04-05,112.0,107.55000305175781,108.5,111.75,0.0,120.13006591796875
2005-04-06,112.0,110.0,111.25,110.0,0.0,118.24883270263672
2005-04-07,111.5,108.0,110.0,110.75,0.0,119.05506134033203
2005-04-08,114.75,110.5,110.5,113.5,0.0,122.01128387451172
2005-04-11,117.0,113.5,113.75,116.75,0.0,125.50498962402344
2005-04-12,122.5,116.5,117.0,120.5,0.0,129.5361785888672
2005-04-13,125.05999755859375,120.47000122070312,120.75,124.0,0.0,133.29867553710938
2005-04-14,126.0,121.0,124.25,122.25,0.0,131.41746520996094
2005-04-15,122.5,118.75,120.5,119.5,0.0,128.46124267578125
2005-04-18,119.0,113.5,119.0,114.75,0.0,123.3550033569336
2005-04-19,117.80000305175781,114.05999755859375,115.5,115.0,0.0,123.62379455566406
2005-04-20,133.39999389648438,115.0,115.25,116.25,0.0,124.96751403808594
2005-04-21,117.0,115.0,115.25,115.5,0.0,124.16127014160156
2005-04-22,122.0,116.33999633789062,117.0,121.25,0.0,130.3424835205078
2005-04-25,123.0,119.75,121.0,120.0,0.0,128.9987335205078
2005-04-26,120.5,118.0,120.0,119.5,0.0,128.46124267578125
2005-04-27,120.5,116.25,119.75,118.0,0.0,126.84876251220703
2005-04-28,119.75,112.0,119.25,114.0,0.0,122.54878997802734
2005-04-29,113.25,109.0,113.25,109.0,0.0,117.1738510131836
2005-05-02,109.0,109.0,109.0,109.0,0.0,117.1738510131836
2005-05-03,111.25,109.0,109.75,110.0,0.0,118.24883270263672
2005-05-04,110.5,96.5,110.5,97.0,0.0,104.27397918701172
2005-05-05,104.33000183105469,98.0,98.0,98.5,0.0,105.8864517211914
2005-05-06,99.0,91.5,99.0,93.75,0.0,100.78024291992188
2005-05-09,96.75,92.5,94.25,96.0,0.0,103.19896697998047
2005-05-10,98.75,94.0,97.0,94.75,0.0,101.855224609375
2005-05-11,94.5,91.0,94.25,92.0,0.0,98.89903259277344
2005-05-12,104.0,92.25,92.5,101.5,0.0,109.11143493652344
2005-05-13,106.75,95.75,100.5,101.5,0.0,109.11143493652344
2005-05-16,101.9000015258789,99.5,101.5,99.5,0.0,106.96142578125
2005-05-17,102.49099731445312,97.0,100.0,97.75,0.0,105.08021545410156
2005-05-18,96.8550033569336,91.9000015258789,97.5,92.5,0.0,99.43650817871094
2005-05-19,95.75,93.0,95.75,93.5,0.0,100.51151275634766
2005-05-20,94.68900299072266,91.0,94.0,92.75,0.0,99.70524597167969
2005-05-23,94.0,91.5,93.25,92.0,0.0,98.89903259277344
2005-05-24,92.94999694824219,84.94999694824219,92.75,87.0,0.0,93.52407836914062
2005-05-25,89.19000244140625,87.0,87.0,88.75,0.0,95.4052963256836
2005-05-26,93.05999755859375,89.75,91.0,89.75,0.0,96.48030090332031
2005-05-27,91.0,89.0,89.0,90.0,0.0,96.7490234375
2005-05-30,90.0,90.0,90.0,90.0,0.0,96.7490234375
2005-05-31,90.5,88.5,89.5,90.25,0.0,97.01777648925781
2005-06-01,91.75,89.58000183105469,91.0,90.5,0.0,97.28654479980469
2005-06-02,91.22000122070312,89.75,90.0,89.75,0.0,96.48030090332031
2005-06-03,91.75,89.0999984741211,90.0,91.0,0.0,97.82402801513672
2005-06-06,92.75,91.0,91.5,91.5,0.0,98.36152648925781
2005-06-07,92.25,91.5,91.75,92.25,0.0,99.16773986816406
2005-06-08,92.5,91.40899658203125,91.75,91.75,0.0,98.6302719116211
2005-06-09,94.48999786376953,91.25,91.75,93.75,0.0,100.78024291992188
2005-06-10,95.6500015258789,91.69100189208984,94.25,94.5,0.0,101.58650207519531
2005-06-13,95.75,93.0,95.25,93.0,0.0,99.97400665283203
2005-06-14,93.94999694824219,91.0,93.75,91.0,0.0,97.82402801513672
2005-06-15,93.0,91.0,91.0,91.75,0.0,98.6302719116211
2005-06-16,92.75,91.0,92.0,91.0,0.0,97.82402801513672
2005-06-17,93.0,91.1500015258789,91.75,92.25,0.0,99.16773986816406
2005-06-20,92.25,91.5,91.5,92.0,0.0,98.89903259277344
2005-06-21,93.0,91.5,92.5,92.5,0.0,99.43650817871094
2005-06-22,94.0,91.56700134277344,92.75,92.75,0.0,99.70524597167969
2005-06-23,94.01000213623047,92.5,93.0,92.5,0.0,99.43650817871094
2005-06-24,93.5,92.0,93.0,93.0,0.0,99.97400665283203
2005-06-27,93.25,91.08999633789062,93.25,92.0,0.0,98.89903259277344
