Date,High,Low,Open,Close,Volume,Adj Close
2019-04-10,549.5999755859375,500.70001220703125,515.0,522.0,56062569.0,522.0
2019-04-11,530.0,510.8999938964844,510.8999938964844,515.0,10307110.0,515.0
2019-04-12,519.0,500.0,519.0,505.0,764406.0,505.0
2019-04-15,521.0,490.5,521.0,500.0,3725255.0,500.0
2019-04-16,515.0,495.5,500.0,515.0,2888481.0,515.0
2019-04-17,525.0,517.0,520.0,524.0,2396617.0,524.0
2019-04-18,524.0,515.0,523.0,520.0,4113884.0,520.0
2019-04-23,525.0,519.0,525.0,520.0,1535706.0,520.0
2019-04-24,525.0,519.0,525.0,520.0,1478705.0,520.0
2019-04-25,524.0,512.0,524.0,513.0,1251191.0,513.0
2019-04-26,521.0,516.0,518.0,518.0,1224032.0,518.0
2019-04-29,523.0,516.0,523.0,517.0,1009145.0,517.0
2019-04-30,525.0,519.0,520.0,521.0,663717.0,521.0
2019-05-01,525.0,521.0,525.0,525.0,316462.0,525.0
2019-05-02,529.0,521.0,525.0,525.0,493886.0,525.0
2019-05-03,556.0,515.0,525.0,543.0,1278384.0,543.0
2019-05-07,568.0,553.0,554.0,562.0,787041.0,562.0
2019-05-08,565.0,525.0,563.0,560.0,559996.0,560.0
2019-05-09,565.0,540.0,564.0,540.0,831478.0,540.0
2019-05-10,552.0,534.0,544.0,539.0,651993.0,539.0
2019-05-13,562.0,524.0,562.0,528.0,637595.0,528.0
2019-05-14,535.0,521.0,535.0,523.0,451260.0,523.0
2019-05-15,534.0,521.0,532.0,521.0,414086.0,521.0
2019-05-16,534.0,521.0,527.0,525.0,833505.0,525.0
2019-05-17,534.0,528.0,534.0,530.0,668488.0,530.0
2019-05-20,532.0,522.0,530.0,525.0,667566.0,525.0
2019-05-21,540.0,520.0,530.0,530.0,912879.0,530.0
2019-05-22,535.0,530.0,535.0,532.0,767740.0,532.0
2019-05-23,552.0,530.0,533.0,552.0,620991.0,552.0
2019-05-24,566.0,551.0,556.0,555.0,628370.0,555.0
2019-05-28,570.0,539.0,550.0,565.0,942638.0,565.0
2019-05-29,565.0,544.0,565.0,560.0,612770.0,560.0
2019-05-30,570.0,554.0,565.0,558.0,373337.0,558.0
2019-05-31,563.0,553.0,560.0,556.0,442880.0,556.0
2019-06-03,560.0,554.0,559.0,557.0,342671.0,557.0
2019-06-04,562.0,545.0,562.0,550.0,3286985.0,550.0
2019-06-05,564.0,548.0,564.0,554.0,302300.0,554.0
2019-06-06,558.0,553.0,555.0,555.0,508151.0,555.0
2019-06-07,559.0,552.0,552.0,558.0,505973.0,558.0
2019-06-10,555.0,541.0,550.0,554.0,592975.0,554.0
2019-06-11,573.0,551.0,551.0,570.0,729369.0,570.0
2019-06-12,590.0,562.0,571.0,590.0,724071.0,590.0
2019-06-13,604.0,585.0,585.0,602.0,1287120.0,602.0
2019-06-14,610.0,589.0,605.0,595.0,391180.0,595.0
2019-06-17,599.0,584.0,597.0,599.0,389434.0,599.0
2019-06-18,602.0,593.0,593.0,597.0,407227.0,597.0
2019-06-19,602.0,594.0,595.0,594.0,946475.0,594.0
2019-06-20,592.0,581.0,590.0,590.0,479292.0,590.0
2019-06-21,594.0,578.0,590.0,586.0,12605200.0,586.0
2019-06-24,595.0,562.0,593.0,565.0,391572.0,565.0
2019-06-25,566.0,541.0,561.0,547.0,623399.0,547.0
2019-06-26,553.0,540.0,546.0,553.0,512454.0,553.0
2019-06-27,578.0,550.0,554.0,575.0,829917.0,575.0
2019-06-28,595.0,568.0,572.0,593.0,1171253.0,593.0
2019-07-01,595.0,585.0,595.0,590.0,673435.0,590.0
2019-07-02,595.0,583.0,595.0,586.0,1020662.0,586.0
2019-07-03,584.0,570.0,583.0,584.0,769535.0,584.0
2019-07-04,586.0,570.0,578.0,586.0,262368.0,586.0
2019-07-05,580.0,570.0,579.0,578.0,85098.0,578.0
2019-07-08,579.0,571.0,572.0,574.0,181869.0,574.0
2019-07-09,579.0,561.0,570.0,578.0,269463.0,578.0
2019-07-10,578.0,572.0,572.0,578.0,226954.0,578.0
2019-07-11,587.0,571.0,573.0,578.0,406775.0,578.0
2019-07-12,588.0,578.0,581.0,583.0,850958.0,583.0
2019-07-15,587.0,574.0,586.0,587.0,671993.0,587.0
2019-07-16,595.0,576.0,595.0,592.0,136629.0,592.0
2019-07-17,595.0,580.0,585.0,595.0,1128437.0,595.0
2019-07-18,609.0,589.0,595.0,605.0,1630334.0,605.0
2019-07-19,611.0,596.0,596.0,610.0,580005.0,610.0
2019-07-22,613.0,596.0,596.0,611.0,181786.0,611.0
2019-07-23,609.0,604.0,609.0,609.0,140055.0,609.0
2019-07-24,610.0,592.0,609.0,605.0,352523.0,605.0
2019-07-25,610.0,600.0,610.0,608.0,293495.0,608.0
2019-07-26,610.0,601.0,610.0,605.0,542709.0,605.0
2019-07-29,610.0,605.0,610.0,606.0,342675.0,606.0
2019-07-30,614.0,597.0,612.0,612.0,267405.0,612.0
2019-07-31,615.0,583.0,583.0,613.0,338972.0,613.0
2019-08-01,630.0,604.0,630.0,628.0,613393.0,628.0
2019-08-02,630.0,612.0,630.0,627.0,268436.0,627.0
2019-08-05,622.0,604.0,618.0,604.0,433684.0,604.0
2019-08-06,607.0,587.68798828125,605.0,605.0,534017.0,605.0
2019-08-07,611.0,590.0,611.0,597.0,186817.0,597.0
2019-08-08,615.0,598.0,604.0,615.0,302316.0,615.0
2019-08-09,626.0,608.0,626.0,612.0,276622.0,612.0
2019-08-12,628.0,598.0,628.0,598.0,242030.0,598.0
2019-08-13,606.0,587.43798828125,605.0,595.0,254562.0,595.0
2019-08-14,605.0,581.0,600.0,581.0,1082922.0,581.0
2019-08-15,600.0,562.0,600.0,564.0,427440.0,564.0
2019-08-16,573.0,545.0,545.0,573.0,868636.0,573.0
2019-08-19,595.0,572.0,588.0,592.0,331667.0,592.0
2019-08-20,607.0,576.0,607.0,597.0,285550.0,597.0
2019-08-21,605.0,597.0,598.0,605.0,696973.0,605.0
2019-08-22,614.0,581.0,614.0,587.0,278725.0,587.0
2019-08-23,607.0,587.0,592.0,589.0,108602.0,589.0
2019-08-27,594.0,585.0,590.0,588.0,342785.0,588.0
2019-08-28,596.0,585.0,588.0,585.0,214368.0,585.0
2019-08-29,596.0,584.9500122070312,585.0,595.0,247755.0,595.0
2019-08-30,612.0,594.0,599.0,601.0,507950.0,601.0
2019-09-02,629.0,601.0,608.0,604.0,207132.0,604.0
2019-09-03,615.0,597.0,610.0,615.0,564121.0,615.0
2019-09-04,629.0,612.0,624.0,627.0,507307.0,627.0
2019-09-05,592.0,563.0,586.0,580.0,21085826.0,580.0
2019-09-06,587.0,578.0,587.0,581.0,4108266.0,581.0
2019-09-09,582.0,566.0,575.0,579.0,10992369.0,579.0
2019-09-10,578.0,539.0,569.0,549.0,4676962.0,549.0
2019-09-11,554.0,532.0,540.0,545.0,3901144.0,545.0
2019-09-12,556.0,541.0,556.0,550.0,1064582.0,550.0
2019-09-13,561.0,545.0,552.0,545.0,821154.0,545.0
2019-09-16,552.0,544.0,545.0,550.0,1036409.0,550.0
2019-09-17,558.0,545.0,545.0,552.0,1022949.0,552.0
2019-09-18,571.0,551.0,551.0,565.0,1057535.0,565.0
2019-09-19,572.0,564.0,564.0,570.0,1155706.0,570.0
2019-09-20,572.0,561.0,567.0,561.0,1338893.0,561.0
2019-09-23,567.0,547.0,567.0,563.0,799219.0,563.0
2019-09-24,561.0,552.0,556.0,558.0,421020.0,558.0
2019-09-25,555.0,544.0,555.0,550.0,791127.0,550.0
2019-09-26,552.0,526.0,550.0,531.0,1978533.0,531.0
2019-09-27,547.0,525.0,537.0,530.0,976446.0,530.0
2019-09-30,541.0,529.0,530.0,535.0,784045.0,535.0
2019-10-01,535.0,522.3250122070312,534.0,526.0,1766010.0,526.0
2019-10-02,531.0,506.0,525.0,513.0,1316888.0,513.0
2019-10-03,527.0,503.0,511.0,516.0,1754486.0,516.0
2019-10-04,525.0,507.0,510.0,525.0,844990.0,525.0
2019-10-07,536.0,516.0,516.0,525.0,255866.0,525.0
2019-10-08,532.0,517.0,523.0,521.0,330187.0,521.0
2019-10-09,528.0,516.0,521.0,520.0,414929.0,520.0
2019-10-10,527.0,511.0,525.0,527.0,449237.0,527.0
2019-10-11,556.0,520.9600219726562,527.0,549.0,1038176.0,549.0
2019-10-14,558.0,520.9600219726562,554.0,553.0,382911.0,553.0
2019-10-15,568.2949829101562,546.0,550.0,556.0,800762.0,556.0
2019-10-16,566.0,553.0,556.0,560.0,689013.0,560.0
2019-10-17,564.0,555.0,555.0,560.0,748062.0,560.0
2019-10-18,563.0,547.0,556.0,550.0,575127.0,550.0
2019-10-21,553.0,537.0,552.0,538.0,970587.0,538.0
2019-10-22,534.5999755859375,516.0,534.0,526.0,751180.0,526.0
2019-10-23,528.0,510.0,524.0,515.0,651523.0,515.0
2019-10-24,525.0,511.0,513.0,525.0,785212.0,525.0
2019-10-25,539.0,522.0,524.0,530.0,387314.0,530.0
2019-10-28,538.2999877929688,520.0,526.0,538.0,415127.0,538.0
2019-10-29,541.0,521.0,541.0,538.0,519661.0,538.0
2019-10-30,543.0,525.0,530.0,543.0,1319972.0,543.0
